financial_year,award_date,sale_type,lot_number,location,use,use_category_normalized,site_area_sqm,premium_hkd_m,cancelled,parse_confidence,development_english_name,development_address_english,csdi_lot_number,num_bids,successful_tenderer,other_bidders,latitude,longitude,sale_regime,sale_regime_source,parent_developer,max_gfa,gfa_unit,accommodation_value,av_unit,premium_crosscheck_ok,source_url,note,buyer_normalized,buyer_type,winner_source,maxgfa_source,devm_name_source,gfa_check,min_flat_count,flat_size_restriction,flat_req_special,flat_req_source,flat_req_confidence,consent_development,consent_developer,consent_status,consent_date
2017-2018,21/06/2017,tender,TUEN MUN TOWN LOT NO. 520,"KWUN CHUI ROAD, AREA 56, TUEN MUN, NEW TERRITORIES",RESIDENTIAL R2,residential,12205,3168.888889,,high,MORI,18 KWUN CHUI ROAD,TUEN MUN TOWN LOT NO. 520,10,Shum King Company Limited (Profit City Global Limited and Medos Limited),(1) Best Wealth Limited (Vanke Property (Overseas) Limited);<br/>(2) Cheerful United Limited (Chevalier International Holdings Limited and Wang On Properties Limited);<br/>(3) Cosmic Fortune Limited (Wheelock Properties Limited);<br/>(4) Fortune Master Investments Limited (Regal Hotels International Holdings Limited);<br/>(5) Great Rainbow Investments Limited (Cheung Kong Property Holdings Limited);<br/>(6) Juliyam Limited (Henderson Land Development Company Limited);<br/>(7) Pacific Asia Limited (Sino Land Company Limited and Shimao Property Holdings Limited);<br/>(8) Tin Wah International Limited (K. Wah International Holdings Limited); and <br/>(9) Winner Harvest Limited (Sun Hung Kai Properties Limited). | N.A. | N.A.,22.37353826,114.0010421,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Profit City Global Limited and Medos Limited,43938,sq m,6700,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201706/21/P2017062100816.htm,Beneficial owners Road King and Shenzhen Investment,Profit City Global Limited + Medos Limited,consortium,https://www.info.gov.hk/gia/general/201706/21/P2017062100816.htm | raw/2017-2018/TUENMUNTOWNLOTNO520__result.pdf,https://www.info.gov.hk/gia/general/201706/21/P2017062100816.htm | raw/2017-2018/TUENMUNTOWNLOTNO520__result.pdf,https://hk.centanet.com/info/en/new-property/Tuen-Mun/MORI/2055 | raw/2017-2018/TUENMUNTOWNLOTNO520__devname.pdf,,,,,https://www.legco.gov.hk/research-publications/english/essentials-2022ise09-regulation-on-minimum-home-size-in-london.htm,inferred-N,MORI,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | SHUM KING COMPANY LIMITED,Named development,5-Jul-23
2017-2018,21/07/2017,tender,SHA TIN TOWN LOT NO. 611,"WHITEHEAD, MA ON SHAN, SHA TIN, NEW TERRITORIES",RESIDENTIAL R3,residential,4620,1383,,high,SILVERSANDS,8 YIU SHA ROAD,SHA TIN TOWN LOT NO. 611,30,Pacific Asia Limited (Sino Land Company Limited),"(1) Best Wealth Limited (Vanke Property (Overseas) Limited);<br/>(2) Bright Vision International Limited (CITIC Pacific Limited);<br/>(3) Century Link Investments Limited (Wang On Properties Limited);<br/>(4) Century Opal Limited (Sun Hung Kai Properties Limited);<br/>(5) Champion Creator Limited (Minmetals Land Limited);<br/>(6) Conford Investments Limited (Cheung Kong Property Holdings Limited);<br/>(7) Cosmic Fortune Limited (Wheelock Properties Limited);<br/>(8) Dragon Star H.K. Investments Limited (K. Wah International Holdings Limited);<br/>(9) Ease Success Limited (Great Eagle Holdings Limited);<br/>(10) Empire Chariot Holdings Limited (Empire Development Hong Kong Limited);<br/>(11) Even Wise Limited (Kerry Properties Limited);<br/>(12) Fine Time Development Limited (Hong Kong Ferry (Holdings) Company Limited);<br/>(13) Fortune Master Investments Limited (Regal Hotels International Holdings Limited);<br/>(14) Golden United Development Limited (Leap Up Investments Limited);<br/>(15) Good Hour International Limited (China Resources Land Limited);<br/>(16) Guo Xiang Property Co., Limited;<br/>(17) Luck Huge Limited;<br/>(18) Lucky Gain Holdings Limited (China Aoyuan Property Group Limited);<br/>(19) Maxjet Company Limited (China Overseas Land & Investment Limited);<br/>(20) One Gold Investment Limited (K&K Property Holdings Limited);<br/>(21) Regal Galaxy Investment Limited (Treasure Dynasty Investments Limited);<br/>(22) Skillful Enterprises Limited (L'Avenue Projects Limited);<br/>(23) Sky Bloom Investment Limited (S E A Holdings Limited);<br/>(24) Sky Value Investment Limited (Hysan Development Company Limited);<br/>(25) Talent Way Investment Limited (Emperor International Holdings Limited and Grand Ming Group Holdings Limited);<br/>(26) Turbo Century Limited (Far East Consortium International Limited);<br/>(27) Wah Lung Property (Hong Kong) Limited (Huafa Industrial (HK) Limited);<br/>(28) Whole Brand Limited (Shimao Property Holdings Limited); and<br/>(29) Wisdom Sign Limited (Wing Tai Properties Limited). | N.A. | N.A.",22.43383386,114.2441288,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Sino Land Company Limited,11088,sq m,11588,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201707/21/P2017072100655.htm,,Sino Land,local_major,https://www.info.gov.hk/gia/general/201707/21/P2017072100655.htm | raw/2017-2018/SHATINTOWNLOTNO611__winner.pdf,https://www.info.gov.hk/gia/general/201707/21/P2017072100655.htm | raw/2017-2018/SHATINTOWNLOTNO611__winner.pdf,https://www.scmp.com/presented/property/topics/sino-silversands/article/3121221/silversands-offers-luxury-low-density | raw/2017-2018/SHATINTOWNLOTNO611__devname.pdf,match,,,,https://www.legco.gov.hk/research-publications/english/essentials-2022ise09-regulation-on-minimum-home-size-in-london.htm,inferred-N,Silversands,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | PACIFIC ASIA LIMITED,Named development,28-Dec-20
2017-2018,16/08/2017,tender,NEW KOWLOON INLAND LOT NO. 6572,"JUNCTION OF WING HONG STREET, YU CHAU WEST STREET AND WING MING STREET, CHEUNG SHA WAN, KOWLOON",BUSINESS,commercial,2873,2967.48,,high,,,NEW KOWLOON INLAND LOT NO. 6572,9,Bonson Holdings Limited (New World Development Company Limited),(1) Asia Mark Limited (Sino Land Company Limited);<br/>(2) Charm Step Development Limited (Fast Forward Global Limited);<br/>(3) Fedder Limited (Sun Hung Kai Properties Limited);<br/>(4) One Gold Investment Limited (K&K Property Holdings Limited);<br/>(5) Profit Realty Development Limited (Billion Real Estate Holdings Limited);<br/>(6) Treasure King Investment Limited (Cheung Kong Property Holdings Limited);<br/>(7) Tristar Capital Limited (Wheelock Properties Limited); and <br/>(8) Well Growth Holdings Limited (S E A Holdings Limited). | N.A. | N.A.,22.33993351,114.1505188,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,New World Development Company Limited,34476,sq m,7997,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201708/16/P2017081600704.htm,,New World Development,local_major,https://www.info.gov.hk/gia/general/201708/16/P2017081600704.htm | raw/2017-2018/NEWKOWLOONINLANDLOTNO6572__result.pdf,https://www.info.gov.hk/gia/general/201708/16/P2017081600704.htm | raw/2017-2018/NEWKOWLOONINLANDLOTNO6572__result.pdf,,,,,,,,83 Wing Hong Street,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | BONSON HOLDINGS LIMITED | CONSENT TO SELL FOR NON-RESIDENTIAL DEVELOPMENT,Named development,31-Dec-23
2017-2018,16/08/2017,tender,LOT NO. 763 IN DEMARCATION DISTRICT NO. 332 LANTAU,"CHEUNG SHA, LANTAU ISLAND, NEW TERRITORIES",RESIDENTIAL R4,residential,2480,210,,high,THE ARCANA,38 CHEUNG SHA,LOT NO. 763 IN DEMARCATION DISTRICT NO. 332 LANTAU,9,Golden United Development Limited (Leap Up Investments Limited),(1) Asia Bright Development Limited (Sino Land Company Limited);<br/>(2) Cosmic Fortune Limited (Wheelock Properties Limited);<br/>(3) Dragon Star H.K. Investments Limited (K. Wah Properties (Holdings) Limited);<br/>(4) Happy Land Corporation Limited (Emperor International Holdings Limited);<br/>(5) Li Wo Properties Investments Company Limited;<br/>(6) Moral Smart Capital Investment Limited (Gemini Investments (Holdings) Limited);<br/>(7) Regal Wise Holdings Limited (Far East Consortium International Limited); and <br/>(8) Time Fort Limited (K&K Property Holdings Limited). | N.A. | N.A.,22.23385569,113.9614313,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Leap Up Investments Limited,992,sq m,19667,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201708/16/P2017081600704.htm,,Leap Up Investments Limited,other,https://www.info.gov.hk/gia/general/201708/16/P2017081600704.htm | raw/2017-2018/LOTNO763INDEMARCATIONDISTRICTNO332LANTAU__result.pdf,https://www.info.gov.hk/gia/general/201708/16/P2017081600704.htm | raw/2017-2018/LOTNO763INDEMARCATIONDISTRICTNO332LANTAU__result.pdf,https://www.28hse.com/en/estate/detail/the-arcana-28733 | raw/2017-2018/LOTNO763INDEMARCATIONDISTRICTNO332LANTAU__devname.pdf,,,,,https://www.legco.gov.hk/research-publications/english/essentials-2022ise09-regulation-on-minimum-home-size-in-london.htm,inferred-N,The Arcana,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | GOLDEN UNITED DEVELOPMENT LIMITED,Named development,25-Nov-21
2017-2018,12/9/2017,tender,PO TOWN LOT NO. 231,"YAT YIU AVENUE, TAI PO KAU, TAI PO, NEW TERRITORIES P. 1",RESIDENTIAL R3,residential,7660,323,,high,,,,,Manifold Limited,,,,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Manhattan Realty Limited,5450,sq m,5506,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201709/12/P2017091200767.htm,CSV lot truncated; actual lot is Tai Po Town Lot No. 231. Parent per S&P/news; not stated in press release,Manhattan Group,local_minor,https://www.info.gov.hk/gia/general/201709/12/P2017091200767.htm | raw/2017-2018/POTOWNLOTNO231__result.pdf,https://www.info.gov.hk/gia/general/201709/12/P2017091200767.htm | raw/2017-2018/POTOWNLOTNO231__result.pdf,,,,,,https://www.legco.gov.hk/research-publications/english/essentials-2022ise09-regulation-on-minimum-home-size-in-london.htm,inferred-N,,,No consent,
2017-2018,30/10/2017,tender,NEW KOWLOON INLAND LOT NO. 6550,"OFF HING WAH STREET WEST, CHEUNG SHA WAN, KOWLOON",HOTEL,hotel,4880,5060,,high,,,NEW KOWLOON INLAND LOT NO. 6550,10,Fedder Limited (Sun Hung Kai Properties Limited),(1) Art Champion Investment Limited (CK Asset Holdings Limited);<br/>(2) Fortune Master Investments Limited (Regal Hotels International Holdings Limited);<br/>(3) Juliyam Limited (Henderson Land Development Company Limited);<br/>(4) Lucky Victory Limited (Sino Land Company Limited);<br/>(5) One Gold Investment Limited (K&K Property Holdings Limited);<br/>(6) Shiny Leading Limited (Far East Consortium International Limited);<br/>(7) Shun Ho Technology Holdings Limited (Babenna Limited);<br/>(8) Sunny Global Development Limited (Billion Real Estate Holdings Limited); and <br/>(9) Supreme Success Investments Limited (Stanford Hotels Enterprises Limited). | N.A. | N.A.,22.32665793,114.1493711,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Sun Hung Kai Properties Limited,34770,sq m,13520,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201710/30/P2017103000697.htm,Hotel site; record hotel-site premium,Sun Hung Kai Properties,local_major,https://www.info.gov.hk/gia/general/201710/30/P2017103000697.htm | raw/2017-2018/NEWKOWLOONINLANDLOTNO6550__result.pdf,https://www.info.gov.hk/gia/general/201710/30/P2017103000697.htm | raw/2017-2018/NEWKOWLOONINLANDLOTNO6550__result.pdf,,,,,,,,,,No consent,
2017-2018,15/11/2017,tender,NEW KOWLOON INLAND LOT NO. 6549,"OFF HING WAH STREET WEST, CHEUNG SHA WAN, KOWLOON",RESIDENTIAL R2,residential,19348,17288,,high,GRAND VICTORIA | GRAND VICTORIA,6 LAI YING STREET | 8 LAI YING STREET,NEW KOWLOON INLAND LOT NO. 6549,11,"Sky Asia Properties Limited (Sino Land Company Limited, Shimao Property Holdings Limited, Wheelock Properties Limited, K Wah International Holdings Limited and S E A Holdings Limited)",(1)  Clever Like Limited (Chime Corporation Limited);<br/>(2)  Delta Bridge Limited (Hang Lung Properties Limited);<br/>(3)  Dream Garden Investments Limited (New World Development Company Limited);<br/>(4)  Excel Top Development Limited (China Overseas Land & Investment Limited);<br/>(5)  Great Rainbow Investments Limited (CK Asset Holdings Limited);<br/>(6)  High Crown Holdings Limited (Kerry Properties Limited);<br/>(7)  Juliyam Limited (Henderson Land Development Company Limited);<br/>(8)  Smart Source Management Ltd (Kingboard Property Development (HK) Company Limited);<br/>(9)  Topco (HK) Limited (Sun Hung Kai Properties Limited); and <br/>(10)  Virtue High (Hong Kong) Limited (Logan Property Holdings Company Limited). | N.A. | N.A.,22.32756176,114.1480652,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,"Sino Land Company Limited, Shimao Property Holdings Limited, Wheelock Properties Limited, K. Wah International Holdings Limited and S E A Holdings Limited",91770,sq m,17501,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201711/15/P2017111500700.htm,,Sino Land + Shimao + Wheelock/Wharf + K. Wah International + SEA Holdings,consortium,https://www.info.gov.hk/gia/general/201711/15/P2017111500700.htm | raw/2017-2018/NEWKOWLOONINLANDLOTNO6549__result.pdf,https://www.info.gov.hk/gia/general/201711/15/P2017111500700.htm | raw/2017-2018/NEWKOWLOONINLANDLOTNO6549__result.pdf,https://hk.centanet.com/info/en/new-property/South-West-Kowloon/GRAND-VICTORIA-I/1827 | raw/2017-2018/NEWKOWLOONINLANDLOTNO6549__devname.pdf,,,,,https://www.legco.gov.hk/research-publications/english/essentials-2022ise09-regulation-on-minimum-home-size-in-london.htm,inferred-N,Grand Victoria | Grand Victoria (Phase 1) | Grand Victoria (Phase 2) | Grand Victoria (Phase 3) | Grand Victoria I | Grand Victoria II | Grand Victoria III,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO ASSIGN FOR RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | SKY ASIA PROPERTIES LIMITED,Named development,18-Feb-21
2017-2018,28/12/2017,tender,FANLING SHEUNG SHUI TOWN LOT NO. 270,"SAN LOK STREET, SHEUNG SHUI, NEW TERRITORIES",RESIDENTIAL R2,residential,200.7,131.3,,high,ARTIQUE,38 SAN LOK STREET,FANLING SHEUNG SHUI TOWN LOT NO. 270,19,Force Castle Limited (Tai Hung Fai Group Holdings Limited),(1) Big Profit Capital Investment Limited;<br/>(2) Brave Riders Limited (Milestone Builder Holdings Limited);<br/>(3) Chevalier Shop Limited (Chevalier International Holdings Limited);<br/>(4) Dragon Topper Development Limited (Pacific Worth Limited);<br/>(5) Eurosia Holdings (Development) Limited;<br/>(6) Evergreen Collection Limited (Peterson Holdings Company Limited);<br/>(7) Full World (Hong Kong) Limited;<br/>(8) General Smart Limited;<br/>(9) Goldfort Corporation Limited;<br/>(10) Joint Nice Corporation Limited (Fortune Peace Holdings Limited);<br/>(11) Metal Place Company Limited;<br/>(12) Noble Trade Limited;<br/>(13) One Gold Investment Limited (K&K Property Holdings Limited);<br/>(14) Sky Base Properties Limited (Sino Land Company Limited);<br/>(15) Talent Way Investment Limited (Emperor International Holdings Limited);<br/>(16) Tin Wah International Limited (K. Wah Properties (Holdings) Limited);<br/>(17) Trend Nice Corporation Limited (HK JEBN Assets Management Limited); and <br/>(18) United Horizon Limited (Wang On Properties Limited). | N.A. | N.A.,22.50331373,114.1284479,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Tai Hung Fai Group Holdings Limited,866,sq m,14086,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201712/28/P2017122800727.htm,,Tai Hung Fai Group Holdings Limited,other,https://www.info.gov.hk/gia/general/201712/28/P2017122800727.htm | raw/2017-2018/FANLINGSHEUNGSHUITOWNLOTNO270__result.pdf,https://www.info.gov.hk/gia/general/201712/28/P2017122800727.htm | raw/2017-2018/FANLINGSHEUNGSHUITOWNLOTNO270__result.pdf,https://hk.centanet.com/estate/en/Artique/2-BDPPWWPEWS | raw/2017-2018/FANLINGSHEUNGSHUITOWNLOTNO270__devname.pdf,,,,,https://www.legco.gov.hk/research-publications/english/essentials-2022ise09-regulation-on-minimum-home-size-in-london.htm,inferred-N,Artique,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
2017-2018,3/1/2018,tender,TSUEN WAN TOWN LOT NO. 428,"MA KOK STREET, TSUEN WAN, NEW TERRITORIES",INDUSTRIAL,industrial,1972.9,725.8,,high,,,TSUEN WAN TOWN LOT NO. 428,10,Capital Way (H.K.) Limited (SUNeVision Holdings Ltd),(1) Action Fulfilled Assets Limited (Far East Consortium International Limited);<br/>(2) Boundless Investments Limited (K&K Property Holdings Limited);<br/>(3) Cheer Honour Investment Limited (Triple Bonus Limited);<br/>(4) Danford Development Limited (Sino Land Company Limited);<br/>(5) Dragon Star H.K. Investments Limited (K. Wah International Holdings Limited);<br/>(6) Joy Wide Asia Investment Limited (Rosy Unicorn Limited);<br/>(7) Smart Base Holdings Limited (Paliburg Holdings Limited and Regal Hotels International Holdings Limited);<br/>(8) Smart Benefit Corporation Limited (Emperor International Holdings Limited); and <br/>(9) Tristar Capital Limited (Wheelock Properties Limited). | N.A. | N.A.,22.36513488,114.1190386,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,SUNeVision Holdings Ltd,18742,sq m,3598,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201801/03/P2018010300677.htm,,SUNeVision,non_property,https://www.info.gov.hk/gia/general/201801/03/P2018010300677.htm | raw/2017-2018/TSUENWANTOWNLOTNO428__result.pdf,https://www.info.gov.hk/gia/general/201801/03/P2018010300677.htm | raw/2017-2018/TSUENWANTOWNLOTNO428__result.pdf,,,,,,,,,,No consent,
2017-2018,16/01/2018,tender,NEW KOWLOON INLAND LOT NO. 6579,"JUNCTION OF LUNG CHEUNG ROAD AND LION ROCK TUNNEL ROAD, KOWLOON TONG, KOWLOON",RESIDENTIAL R2,residential,11262,12451,,high,THE MONET,8 LUNG TING LANE,NEW KOWLOON INLAND LOT NO. 6579,10,Alpha Pioneer Limited (The Wharf (Holdings) Limited),"(1) Art Champion Investment Limited (CK Asset Holdings Limited);<br/>(2) Avion Investment Limited (Henderson Land Development Company Limited);<br/>(3) Dream Garden Investments Limited (New World Development Company Limited, China Overseas Land & Investment Limited, Sino Land Company Limited and Far East Consortium International Limited);<br/>(4) Ease Success Limited (Great Eagle Holdings Limited);<br/>(5) Even Wise Limited (Kerry Properties Limited);<br/>(6) Fame Well Creation Limited (China Resources Land Limited);<br/>(7) HLP Asia Limited (Hang Lung Properties Limited);<br/>(8) Tin Wah International Limited (K. Wah International Holdings Limited); and <br/>(9) Topco (HK) Limited (Sun Hung Kai Properties Limited). | N.A. | N.A.",22.34475657,114.1804228,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,The Wharf (Holdings) Limited,40543,sq m,28531,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201801/16/P2018011600697.htm,,Wheelock/Wharf,local_major,https://www.info.gov.hk/gia/general/201801/16/P2018011600697.htm | raw/2017-2018/NEWKOWLOONINLANDLOTNO6579__result.pdf,https://www.info.gov.hk/gia/general/201801/16/P2018011600697.htm | raw/2017-2018/NEWKOWLOONINLANDLOTNO6579__result.pdf,https://www.themonet.com.hk/ | raw/2017-2018/NEWKOWLOONINLANDLOTNO6579__devname.pdf,,,,,https://www.legco.gov.hk/research-publications/english/essentials-2022ise09-regulation-on-minimum-home-size-in-london.htm,inferred-N,8 Lung Ting Lane | 8 Lung Ting Lane (Phase 1) | 8 Lung Ting Lane (Phase 2) | 8 Lung Ting Lane (Phase 3) | Pending (Phase 1) | Pending (Phase 2) | Pending (Phase 3),ALPHA PIONEER LIMITED | APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO ASSIGN FOR RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT,Named development,6 November 2024 | Wharf Finance Limited
2017-2018,24/01/2018,tender,LOT NO. 1068 IN SURVEY DISTRICT NO. 3,"OFF ANDERSON ROAD, KWUN TONG, KOWLOON",RESIDENTIAL R2,residential,5354,3112.8,,high,MOUNT ANDERSON,23 ON HEI STREET,LOT NO. 1068 IN SURVEY DISTRICT NO. 3,25,Clever Like Limited (Chime Corporation Limited),(1) Action Fulfilled Assets Limited (Far East Consortium International Limited);<br/>(2) Best Wealth Limited (Vanke Property (Overseas) Limited);<br/>(3) Boundless Investments Limited (K&K Property Holdings Limited);<br/>(4) Champion Creator Limited (Minmetals Land Limited);<br/>(5) Cosmic Fortune Limited (Wheelock Properties Limited);<br/>(6) Crown Gain Investments Limited (CK Asset Holdings Limited);<br/>(7) Dragon Star H.K. Investments Limited (K. Wah International Holdings Limited);<br/>(8) Even Wise Limited (Kerry Properties Limited);<br/>(9) Fair Opal Limited (Sun Hung Kai Properties Limited);<br/>(10) Fortune Master Investments Limited (Regal Hotels International Holdings Limited);<br/>(11) Gainplace Limited (Swank Bay Limited);<br/>(12) Gold Essence Limited (Glory Filed Investment Limited);<br/>(13) Gold Prosperity Limited (Chuang's Consortium International Limited);<br/>(14) Grand Build Development Limited (Grand Ming Group Holdings Limited);<br/>(15) Juliyam Limited (Henderson Land Development Company Limited);<br/>(16) Keysford 1 Limited (Chevalier International Holdings Limited);<br/>(17) Macfull Limited (China Overseas Land & Investment Limited);<br/>(18) New Synergy Limited (New World Development Company Limited);<br/>(19) Rainbow Legend Limited (New Explorer Investments Limited);<br/>(20) Richmen Development Limited (Billion Real Estate Holdings Limited);<br/>(21) Sky Base Properties Limited (Sino Land Company Limited);<br/>(22) Smart Benefit Corporation Limited (Emperor International Holdings Limited);<br/>(23) United Horizon Limited (Kam Wah Properties Limited and Wang On Properties Limited); and <br/>(24) Wealth Start Development Limited (Tai Cheung Holdings Limited). | N.A. | N.A.,22.32857446,114.2333134,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Chime Corporation Limited,24093,sq m,12003,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201801/24/P2018012400772.htm,Chinachem Group,Chinachem,local_major,https://www.info.gov.hk/gia/general/201801/24/P2018012400772.htm | raw/2017-2018/LOTNO1068INSURVEYDISTRICTNO3__result.pdf,https://www.info.gov.hk/gia/general/201801/24/P2018012400772.htm | raw/2017-2018/LOTNO1068INSURVEYDISTRICTNO3__result.pdf,https://www.mountanderson.com.hk/en/ | raw/2017-2018/LOTNO1068INSURVEYDISTRICTNO3__devname.pdf,,,,,https://www.info.gov.hk/gia/general/201801/24/P2018012400769.htm,verified,Mount Anderson,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CLEVER LIKE LIMITED | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT,Named development,26-Nov-20
2017-2018,7/3/2018,tender,TUEN MUN TOWN LOT NO. 540,"AREA 30A, SAN TAK STREET, TUEN MUN, NEW TERRITORIES",PETROL FILLING STATION,petrol_or_ev,810,571.105008,,high,,,TUEN MUN TOWN LOT NO. 540,5,Shell Hong Kong Limited,(1) Chevron Hong Kong Limited;<br/>(2) ExxonMobil Hong Kong Limited;<br/>(3) PetroChina International (Hong Kong) Corporation Limited; and <br/>(4) Sinopec (Hong Kong) Limited (Sinopec Marketing Company Limited). | N.A. | N.A.,22.40173169,113.9770485,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,,,,,,,https://www.landsd.gov.hk/doc/en/landsale/records/2017-2018.pdf,Petrol filling station (March 2018); award press release not located. PFS sites have no GFA.,,,,https://www.landsd.gov.hk/doc/en/landsale/records/2017-2018.pdf | raw/2017-2018/TUENMUNTOWNLOTNO540__consent.pdf,,,,,,,,,,No consent,
2017-2018,7/3/2018,tender,KWAI CHUNG TOWN LOT NO. 528,"99 CASTLE PEAK ROAD â€“ KWAI CHUNG, KWAI CHUNG, NEW TERRITORIES",PETROL FILLING STATION,petrol_or_ev,1151,180.386,,high,,,KWAI CHUNG TOWN LOT NO. 528,4,ExxonMobil Hong Kong Limited,(1) PetroChina International (Hong Kong) Corporation Limited;<br/>(2) Shell Hong Kong Limited; and <br/>(3) Sinopec (Hong Kong) Limited (Sinopec Marketing Company Limited). | N.A. | N.A.,22.35024013,114.132877,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,,,,,,,https://www.landsd.gov.hk/doc/en/landsale/records/2017-2018.pdf,Petrol filling station (March 2018); award press release not located. PFS sites have no GFA.,,,,https://www.landsd.gov.hk/doc/en/landsale/records/2017-2018.pdf | raw/2017-2018/KWAICHUNGTOWNLOTNO528__consent.pdf,,,,,,,,,,No consent,
2017-2018,7/3/2018,tender,SHA TIN TOWN LOT NO. 622,"YUEN ON STREET, SHA TIN, NEW TERRITORIES P. 2",PETROL FILLING STATION,petrol_or_ev,1248,289.09,,high,,,SHA TIN TOWN LOT NO. 622,4,Sinopec (Hong Kong) Limited (Sinopec Marketing Company Limited),(1) Chevron Hong Kong Limited;<br/>(2) ExxonMobil Hong Kong Limited; and <br/>(3) PetroChina International (Hong Kong) Corporation Limited. | N.A. | N.A.,22.38196275,114.2073147,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,,,,,,,https://www.landsd.gov.hk/doc/en/landsale/records/2017-2018.pdf,Petrol filling station (March 2018); award press release not located. PFS sites have no GFA.,,,,https://www.landsd.gov.hk/doc/en/landsale/records/2017-2018.pdf | raw/2017-2018/SHATINTOWNLOTNO622__consent.pdf,,,,,,,,,,No consent,
