financial_year,award_date,sale_type,lot_number,location,use,use_category_normalized,site_area_sqm,premium_hkd_m,cancelled,parse_confidence,development_english_name,development_address_english,csdi_lot_number,num_bids,successful_tenderer,other_bidders,latitude,longitude,sale_regime,sale_regime_source,parent_developer,max_gfa,gfa_unit,accommodation_value,av_unit,premium_crosscheck_ok,source_url,note,buyer_normalized,buyer_type,winner_source,maxgfa_source,devm_name_source,gfa_check,min_flat_count,flat_size_restriction,flat_req_special,flat_req_source,flat_req_confidence,consent_development,consent_developer,consent_status,consent_date
1985-1986,14/02/1986,,YLTL 440,"OFF TAI TONG RD, YUEN LONG",C/R,commercial_residential_mixed,562,1.1,,high,,,YUEN LONG TOWN LOT NO. 440,N.A.,N.A.,N.A. | N.A. | N.A.,22.44213822,114.0286606,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,14/02/1986,,YLTL 432,"FUNG YAU ST N, YUEN LONG",R1,residential,2320,0.1,,high,,,YUEN LONG TOWN LOT NO. 432,N.A.,N.A.,N.A. | N.A. | N.A.,22.44379537,114.0337299,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Shun Fung Building (Common Areas),,Named development,
1985-1986,15/02/1986,,TWTL 301,"CASTLE PEAK RD, NEAR HOI PA",C/R,commercial_residential_mixed,4500,9.96,,high,,,TSUEN WAN TOWN LOT NO. 301,N.A.,N.A.,N.A. | N.A. | N.A.,22.37127927,114.1186559,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,24/02/1986,,TMTL 288,TSING SIN ST,R1,residential,1932,2.5,,high,,,TUEN MUN TOWN LOT NO. 288,N.A.,N.A.,N.A. | N.A. | N.A.,22.38557355,113.9799058,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,26/02/1986,auction,KIL 10874,94-96 WATERLOO RD,R2,residential,1635,42,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,3/3/1986,,TWTL 302,"SAI LAU KOK RD, TSUEN WAN",IG,industrial,1685,0.1,,high,,,TSUEN WAN TOWN LOT NO. 302,N.A.,N.A.,N.A. | N.A. | N.A.,22.37481761,114.114285,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,3/3/1986,tender,YLTL 442,J/O FAU TSOI ST/HOP CHOI ST,C/R,commercial_residential_mixed,4574,29.2,,high,,,YUEN LONG TOWN LOT NO. 442,N.A.,N.A.,N.A. | N.A. | N.A.,22.44327752,114.0302623,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,21/03/1986,tender,Lot 2013 in DD121,TONG YAN SAN TSUEN,PFS,petrol_or_ev,1708,37.1,,high,,,LOT NO. 2013 IN DEMARCATION DISTRICT NO. 121,N.A.,N.A.,N.A. | N.A. | N.A.,22.44122867,114.0109058,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,26/03/1986,tender,NKIL 5955,CHEUNG SHA WAN RD,MCP,transport_parking,6675,68.8,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Cheung Sha Wan Plaza,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
1986-1987,16/05/1986,tender,STTL 256,"GL NEAR CITY ONE, SHA TIN",OU,special_use_other,7709,12,,high,,,SHA TIN TOWN LOT NO. 256,N.A.,N.A.,N.A. | N.A. | N.A.,22.38988146,114.2030354,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,27/05/1986,auction,IL 8582,OFF SUPREME COURT RD,C/R,commercial_residential_mixed,16150,1005,,high,,,INLAND LOT NO. 8582,N.A.,N.A.,N.A. | N.A. | N.A.,22.27708823,114.1649353,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Pacific Place Phase II,APPROVAL OF DEED OF MUTUAL COVENANT | APPROVAL OF MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
1986-1987,26/06/1986,auction,KTIL 715,"KUNG LOK RD, KWUN TONG",R2,residential,2781,57,,high,,,KWUN TONG INLAND LOT NO. 715,N.A.,N.A.,N.A. | N.A. | N.A.,22.31630546,114.2215597,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,26/06/1986,auction,SIL 798,382-384 SHAUKIWAN RD,C/R,commercial_residential_mixed,121,3.2,,high,,,SHAU KEI WAN INLAND LOT NO. 798,N.A.,N.A.,N.A. | N.A. | N.A.,22.27768,114.2267385,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
