Unnamed: 0,Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
94,TYTL 164,"Tsing Keung Street, Tsing Yi",LPG Vehicle Repair Workshop,0.5810 ha,2.5,2.0,April 2002,2002/2003,1
95,RBL 1159,"Peak Pavilions, 12 Mt. Kellett Road, the Peak",Residential R3,0.7353 ha,0.539,30.0,January 2004,2004/2005,0
96,CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.2080 ha,8,20.0,January 2004,2004/2005,1
97,NKIL 6306,"1 Ede Road, Kowloon Tong",Residential R3,0.2399 ha,3,20.0,February 2004,2004/2005,0
98,NKIL 6423,"3 and 5 Ede Road, Kowloon Tong",Residential R3,0.3529 ha,3,30.0,February 2004,2004/2005,0
99,NKIL 6330,"Sa Po Road, Kowloon City",Residential R1,0.3521 ha,9,40.0,February 2004,2004/2005,1
100,STTL 510,"Tung Lo Wan Hill Road, Sha Tin",Residential R2,1.0626 ha,2.28,30.0,April 2004,2004/2005,1
101,AIL 451,"Welfare Road, Aberdeen",Residential R1,0.6403 ha,8,50.0,April 2004,2004/2005,1
102,TSWTL 26,"Area 108A, Tin Shui Wai",Commercial,0.6500 ha,4,20.0,April 2004,2004/2005,1
103,STTL 487,"Site 15, Area 77, Ma On Shan",Residential R2,1.4006 ha,5,50.0,May 2004,2004/2005,1
104,RBL 1165,"Near 110, Repulse Bay Road",Residential R3,0.4680 ha,0.9,20.0,June 2004,2004/2005,0
105,KIL 11124,"Ex-Tin Kwong Road Police Married Quarters, Ho Man Tin",Residential R1,1.7756 ha,9,50.0,July 2004,2004/2005,1
106,IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Residential / Commercial,1.4667 ha,Portion A: 10.55; Portion B: see Note 2,50.0,September 2004,2004/2005,1
107,NKIL 6308,"Junction of King Fuk Street, King Tai Street and Prince Edward Road East, San Po Kong",Residential R1,1.2701 ha,9,50.0,October 2004,2004/2005,1
108,RBL 1168,Near 35 South Bay Road,Residential R3,0.1530 ha,0.9,10.0,November 2004,2004/2005,0
109,NKIL 6310,"Junction of Wang Tai Road, Sheung Yuet Road and Wang Chiu Road, Kowloon Bay",Business,0.5012 ha,12,20.0,December 2004,2004/2005,0
110,TPTL 166,"Po Heung Street, Tai Po",Residential / Commercial (Including Public Car Park),0.3240 ha,5/9.5,20.0,January 2005,2004/2005,0
