Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
STTL 564,"Shatin Area 56A, Kau To (Site B7)",Residential R3,0.5480 ha,,,Apr-11,2011/2012,1
STTL 565,"Shatin Area 56A, Kau To (Site B1)",Residential R3,0.8590 ha,,,Apr-11,2011/2012,1
STTL 566,"Shatin Area 56A, Kau To (Site B2)",Residential R3,0.8080 ha,,,Apr-11,2011/2012,1
STTL 567,"Shatin Area 56A, Kau To (Site B3&4)",Residential R3,1.9700 ha,,,Apr-11,2011/2012,1
TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R4,0.3173 ha,,,Apr-11,2011/2012,1
Lot 4309 in DD 124,"Tan Kwai Tsuen, Hung Shui Kiu, Yuen Long",Residential R3,1.1192 ha,,,Jun-11,2011/2012,1
TMTL 434,"Junction of Ka Wo Li Hill Road and Castle Peak Road, Area 55, So Kwun Wat, Tuen Mun",Residential R3,0.3550 ha,,,Jun-11,2011/2012,1
TMTL 490,"Castle Peak Road, Tai Lam Chung, Tuen Mun",Residential R3,0.2050 ha,,,Jun-11,2011/2012,1
IL 9020,"Western part of Ex-North Point Estate, North Point",Hotel,0.5369 ha,,,Apr-11,2011/2012,1
KIL 11205,"Junction of Hung Luen Road and Wa Shun Street, Hung Hom Bay Reclamation, Kowloon",Hotel,1.5623 ha,,,Apr-11,2011/2012,1
NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial (Including Public Car Park),0.4878 ha,,,Apr-11,2011/2012,1
NKIL 6311,"Junction of Sheung Yuet Road, Wang Tai Road and Wang Yuen Street, Kowloon Bay",Business,0.2579 ha,,,Apr-11,2011/2012,1
NKIL 6312,"Junction of Wang Chiu Road and Lam Lee Street, Kowloon Bay",Business,0.4297 ha,,,Apr-11,2011/2012,1
NKIL 6313,"Cheung Yip Street, Kowloon Bay",Business,0.3795 ha,,,Apr-11,2011/2012,1
Lot 1176 in DD 215,"Tui Min Hoi, Sai Kung",Commercial,0.1659 ha,,,Apr-11,2011/2012,1
KIL 11111,"Junction of Hung Luen Road and Kin Wan Street, Hung Hom Bay Reclamation, Kowloon",Commercial,1.3703 ha,,,Apr-11,2011/2012,1
STTL 482,"Site 11, Area 77, Ma On Shan, Sha Tin",Commercial,0.5090 ha,,,Apr-11,2011/2012,1
TCTL 11,"Area 3A, Tung Chung, Lantau",Commercial,1.0026 ha,,,Apr-11,2011/2012,1
KIL 11227,"Junction of Sheung Lok Street and Sheung Shing Street, former Homantin Estate Redevelopment Ph 2 and 7 sites",Residential R2,2.0810 ha,,,Jul-11,2011/2012,0
KIL 11228,"Junction of Fat Kwong Street and Sheung Foo Street, former Homantin Estate Redevelopment Ph 3 site",Residential R2,0.7191 ha,,,Jul-11,2011/2012,0
TMTL 436,"Kwun Fat Street, Siu Lam, Tuen Mun",Residential R4,0.8980 ha,,,Aug-11,2011/2012,0
TMTL 423,"Ex-Perowne Barracks North site, Area 48, Castle Peak Road, Tuen Mun",Residential R3,6.6970 ha,,,Oct-11,2011/2012,0
TKOTL 113,Tseung Kwan O Area 66A,Residential R2,1.3400 ha,,,Oct-11,2011/2012,0
TKOTL 114,Tseung Kwan O Area 66C1,Residential R2,0.4340 ha,,,Oct-11,2011/2012,0
TKOTL 115,Tseung Kwan O Area 66D1,Residential R2,0.5030 ha,,,Oct-11,2011/2012,0
TKOTL 119,Tseung Kwan O Area 66B2,Residential R2,0.8260 ha,,,Oct-11,2011/2012,0
ApIIL 135,Junction of Ap Lei Chau Drive and Ap Lei Chau Praya Road,Residential R1,0.3050 ha,,,Nov-11,2011/2012,0
IL 9027,"Eastern part of ex-North Point Estate, North Point",Residential and Commercial,2.9300 ha,,,Mar-12,2011/2012,0
TKOTL 95,Tseung Kwan O Area 68A,Residential R3,3.7300 ha,,,Mar-12,2011/2012,0
TKOTL 117,Tseung Kwan O Area 66C2,Residential R3,1.3000 ha,,,Mar-12,2011/2012,0
TKOTL 118,Tseung Kwan O Area 66D2,Residential R3,1.5000 ha,,,Mar-12,2011/2012,0
STTL 574,"Lok Wo Sha, Ma On Shan, Sha Tin",Residential R3,1.7400 ha,,,Mar-12,2011/2012,0
TMTL 495,"So Kwun Wat, Tuen Mun, near Grandview Terrace",Residential R4,0.1950 ha,,,Mar-12,2011/2012,0
RBL 1190,"8-12 Deep Water Bay Drive, Shouson Hill",Residential R3,1.0249 ha,,,Now,2012/2013,1
Lot 673 in DD Peng Chau,"Tung Wan, Peng Chau (Site A)",Residential R3,0.1142 ha,,,Now,2012/2013,1
Lot 674 in DD Peng Chau,"Tung Wan, Peng Chau (Site B)",Residential R3,0.1780 ha,,,Now,2012/2013,1
Lot 678 in DD Peng Chau,Peng Chau,Residential and Commercial,0.5200 ha,,,Now,2012/2013,1
STTL 562,"Area 56A, Kau To, Sha Tin (Site B5)",Residential R3,0.4680 ha,,,Now,2012/2013,1
STTL 563,"Area 56A, Kau To, Sha Tin (Site B6)",Residential R3,0.5950 ha,,,Now,2012/2013,1
STTL 565,"Area 56A, Kau To, Sha Tin (Site B1)",Residential R3,0.8590 ha,,,Now,2012/2013,1
STTL 566,"Area 56A, Kau To, Sha Tin (Site B2)",Residential R3,0.8080 ha,,,Now,2012/2013,1
STTL 567,"Area 56A, Kau To, Sha Tin (Site B3&4)",Residential R3,1.9700 ha,,,Now,2012/2013,1
TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R4,0.3173 ha,,,Now,2012/2013,1
TMTL 434,"Junction of Ka Wo Li Hill Road and Castle Peak Road, Area 55, So Kwun Wat, Tuen Mun",Residential R3,0.3457 ha,,,Now,2012/2013,1
TMTL 490,"Castle Peak Road, Tai Lam Chung, Tuen Mun",Residential R3,0.2050 ha,,,Now,2012/2013,1
KIL 11227,"Junction of Sheung Lok Street and Sheung Shing Street, Ho Man Tin",Residential R2,2.4077 ha,,,Now,2012/2013,1
KIL 11228,"Junction of Fat Kwong Street and Sheung Foo Street, Ho Man Tin",Residential R2,0.7714 ha,,,Now,2012/2013,1
TKOTL 117,Tseung Kwan O Area 66C2,Residential R3,1.2915 ha,,,Mar-12,2012/2013,1
TKOTL 118,Tseung Kwan O Area 66D2,Residential R3,1.4954 ha,,,Mar-12,2012/2013,1
STTL 574,"Lok Wo Sha, Ma On Shan, Sha Tin",Residential R2,1.4400 ha,,,Mar-12,2012/2013,1
TMTL 495,"Kwun Fung Street, Siu Lam, Tuen Mun",Residential R4,0.2010 ha,,,Mar-12,2012/2013,1
TKOTL 114,Tseung Kwan O Area 66C1,Residential R2,0.4352 ha,,,Apr-12,2012/2013,1
TKOTL 115,Tseung Kwan O Area 66D1,Residential R2,0.5026 ha,,,Apr-12,2012/2013,1
IL 9027,"Eastern part of ex-North Point Estate, North Point",Residential and Commercial,2.3400 ha,,,May-12,2012/2013,1
TKOTL 95,Tseung Kwan O Area 68A2,Residential R3,2.1306 ha,,,May-12,2012/2013,1
TKOTL 125,Tseung Kwan O Area 68A1,Residential R3,1.5969 ha,,,May-12,2012/2013,1
IL 9020,"Western part of Ex-North Point Estate, North Point",Hotel,0.5369 ha,,,Now,2012/2013,1
IL 9036,"Murray Building, Cotton Tree Drive, Hong Kong",Hotel,0.6330 ha,,,Mar-13,2012/2013,1
STTL 482,"Site 11, Area 77, Ma On Shan, Sha Tin",Commercial,0.5090 ha,,,Now,2012/2013,1
TCTL 11,"Area 3A, Tung Chung, Lantau Island",Commercial,1.0026 ha,,,Now,2012/2013,1
IL 8947,"123 Gloucester Road and 219-227 Lockhart Road, former Wan Chai Police Station cum Wan Chai Police Married Quarters",Hotel / Commercial / Community & Cultural,0.3950 ha,,,Mar-13,2012/2013,1
Lot 750 in DD 332,"South Lantau Road, Cheung Sha, Lantau Island",Residential R4,0.1440 ha,,,Mar-12,2012/2013,0
STTL 579,"Area 56A, Kau To, Sha Tin",Residential R3,3.2910 ha,,,Apr-12,2012/2013,0
STTL 578,"Area 56A, Kau To, Sha Tin",Residential R3,1.7389 ha,,,May-12,2012/2013,0
KIL 11229,"7 Kwun Chung Street, Jordan, Kowloon",Residential R1,0.0263 ha,,,Jun-12,2012/2013,0
TMTL 435,"Area 55, Castle Peak Road, Tuen Mun",Residential R3,1.1600 ha,,,Aug-12,2012/2013,0
Lot 1949 in DD 221,"Sha Kok Mei, Sai Kung",Residential R3,1.5600 ha,,,Oct-12,2012/2013,0
TMTL 427,"Junction of So Kwun Wat Road and Kwun Chui Road, Tuen Mun",Residential R3,2.8160 ha,,,Dec-12,2012/2013,0
TMTL 498,"Junction of Wu On Street and Wu Hong Street, Tuen Mun",Residential R2,0.2260 ha,,,Dec-12,2012/2013,0
TMTL 497,"So Kwun Wat Road, Tuen Mun (opposite to A.D. & F.D. of Pok Oi Hospital Mrs. Cheng Yam On Millennium School)",Residential R3,0.3370 ha,,,Jan-13,2012/2013,0
NKIL 6516,"Kai Tak Area 1H Site 1, Kowloon",Residential R2,0.7772 ha,,,Jan-13,2012/2013,0
NKIL 6517,"Kai Tak Area 1H Site 2, Kowloon",Residential R2,0.8586 ha,,,Jan-13,2012/2013,0
TPTL 208,"Fo Chun Road, Pak Shek Kok, Tai Po",Residential R2,1.5000 ha,,,Jan-13,2012/2013,0
TPTL 211,"Fo Chun Road, Pak Shek Kok, Tai Po",Residential R2,1.5000 ha,,,Jan-13,2012/2013,0
IL 9048,"Schooner Street, Wan Chai",Residential R2,0.0270 ha,,,Feb-13,2012/2013,0
IL 9049,"Sik On Street, Wan Chai",Residential R2,0.0249 ha,,,Feb-13,2012/2013,0
RBL 1197,"Mount Austin Road, The Peak, Hong Kong",Residential R3,0.1306 ha,,,Feb-13,2012/2013,0
STTL 581,"Whitehead, Ma On Shan, Sha Tin",Residential R3,3.8024 ha,,,Feb-13,2012/2013,0
TKOTL 93,Tseung Kwan O Area 68B1,Residential R3,2.6850 ha,,,Feb-13,2012/2013,0
TKOTL 126,Tseung Kwan O Area 68B2,Residential R3,2.6843 ha,,,Feb-13,2012/2013,0
TKOTL 112,Tseung Kwan O Area 65C1,Residential R3,1.4000 ha,,,Feb-13,2012/2013,0
TKOTL 124,Tseung Kwan O Area 65C2,Residential R3,1.9900 ha,,,Feb-13,2012/2013,0
YLTL 528,"Tak Yip Street, Tung Tau, Yuen Long",Residential R2,0.4400 ha,,,Feb-13,2012/2013,0
Lot 1003 in DD 40,"Junction of Shun Lung Street and Shun Cheong Street, Sha Tau Kok",Residential R2,0.3344 ha,,,Mar-13,2012/2013,0
Lot 1004 in DD 40,"Che Ping Street, Sha Tau Kok",Residential R2,0.0458 ha,,,Mar-13,2012/2013,0
KIL 11235,"Junction of Argyle Street and Canton Road, Kowloon (ex-Mong Kok Market Site)",Commercial / Office / Hotel,0.1240 ha,,,Mar-13,2012/2013,0
