Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
STTL 449,"Sites 21 and 22, Area 86B, Ma On Shan",Residential R2,2.1100 ha,5,50,April 2002,2002/2003,1
KIL 11140,"Site F/A14, West Kowloon Reclamation",Residential R1,1.3576 ha,6.5/1,50,April 2002,2002/2003,1
Lot 734 D.D. 4,"Sites 3 and 4, Mui Wo, Lantau",Residential R3,0.2419 ha,0.6,1,April 2002,2002/2003,0
AIL 451,"Welfare Road, Aberdeen",Residential R1,0.6403 ha,8,50,August 2002,2002/2003,0
STTL 510,"Tung Lo Wan Hill Road, Sha Tin",Residential R2,1.2200 ha,2.3,30,September 2002,2002/2003,0
KIL 11124,"Ex-Tin Kwong Road Police Married Quarters, Ho Man Tin",Residential R1,1.6730 ha,9,50,September 2002,2002/2003,0
CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.2080 ha,8,20,October 2002,2002/2003,0
TKOTL 77,"Area 73B, Tseung Kwan O",Residential R1,1.2500 ha,6.5/0.16,50,December 2002,2002/2003,1
STTL 536,"Area 11, Shek Mun, Sha Tin",Residential R1,1.7500 ha,5,50,December 2002,2002/2003,0
TKOTL 87,"Area 74 South, Tseung Kwan O",Residential R1,1.7500 ha,7.15/1,50,December 2002,2002/2003,0
TKOTL 86,"Area 74 South, Tseung Kwan O",Residential R1,2.4940 ha,7.15/1,50,December 2002,2002/2003,0
NKIL 6330,"Sa Po Road, Kowloon City",Residential R1,0.3510 ha,9,40,January 2003,2002/2003,0
YLTL 518,"Ex-Yuen Long Estate, Yuen Long",Residential R1,1.2400 ha,5,40,March 2003,2002/2003,1
FSSTL 177,"Sha Tau Kok Road, Fanling",Residential / Commercial,0.8900 ha,5/9.5,30,April 2002,2002/2003,0
IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Residential / Commercial,1.4667 ha,Portion A: 10.55; Portion B: see Note 2,50,April 2002,2002/2003,1
TWTL 393,"Yeung Uk Road, Tsuen Wan",Residential / Commercial,1.4200 ha,5/9.5,50,March 2003,2002/2003,0
TSWTL 26,"Area 108A, Tin Shui Wai",Commercial,0.6500 ha,4,10,April 2002,2002/2003,0
TCTL 11,"Area 3A, Tung Chung",Commercial and Public Transport Terminus,1.0212 ha,3,2,April 2002,2002/2003,0
KIL 11111,Hung Hom Bay Reclamation,Commercial and Public Transport Terminus,2.9356 ha,6.855,50,October 2002,2002/2003,0
NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Business and Multi-storey Carpark,0.7166 ha,12,30,January 2003,2002/2003,0
KCTL 487,"Wang Kei Road, Kwai Chung",Industrial / Industrial - Office,0.1482 ha,9.5,2,September 2002,2002/2003,1
CWIL 165,Chai Wan Reclamation,Industrial / Industrial - Office,0.5247 ha,15,10,December 2002,2002/2003,0
KCTL 478,"Wing Kin Road, Kwai Chung",Industrial / Industrial-Office/Godown and Multi-storey Carpark and LPG Vehicle Repair Workshop,0.3707 ha,9.5,0.5,September 2002,2002/2003,1
TYTL 164,"Tsing Keung Street, Tsing Yi",LPG Vehicle Repair Workshop,0.5810 ha,2.5,2,April 2002,2002/2003,1
RBL 1159,"Peak Pavilions, 12 Mt. Kellett Road, the Peak",Residential R3,0.7353 ha,,,Apr-05,2005/2006,1
CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.2080 ha,,,Apr-05,2005/2006,1
NKIL 6306,"1 Ede Road, Kowloon Tong",Residential R3,0.2399 ha,,,Apr-05,2005/2006,1
NKIL 6423,"3 and 5 Ede Road, Kowloon Tong",Residential R3,0.3528 ha,,,Apr-05,2005/2006,1
AIL 451,"Welfare Road, Aberdeen",Residential R1,0.6403 ha,,,Apr-05,2005/2006,1
TSWTL 26,"Area 108A, Tin Shui Wai",Commercial,0.6500 ha,,,Apr-05,2005/2006,1
RBL 1165,"Near 110, Repulse Bay Road",Residential R3,0.4250 ha,,,Apr-05,2005/2006,1
IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Residential / Commercial,1.4667 ha,,,Apr-05,2005/2006,1
RBL 1168,Near 35 South Bay Road,Residential R3,0.1460 ha,,,Apr-05,2005/2006,1
TPTL 166,"Po Heung Street, Tai Po",Residential / Commercial (Including Public Car Park),0.3325 ha,,,Apr-05,2005/2006,1
TWTL 393,"Yeung Uk Road, Tsuen Wan",Commercial,1.4160 ha,,,Apr-05,2005/2006,1
TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R3,0.3173 ha,,,Apr-2005,2005/2006,0
KIL 11168,"Hoi Ting Road, West Kowloon Reclamation Area",Residential R1,0.7397 ha,,,Apr-2005,2005/2006,0
KIL 11146,"Hoi Fai Road, West Kowloon Reclamation (Site B1)",Residential R1,1.1353 ha,,,Apr-2005,2005/2006,0
KIL 11167,"J/O Hoi Wang Road and Hoi Ting Road, West Kowloon Reclamation Area",Residential R1,0.6179 ha,,,Apr-2005,2005/2006,0
Lot 673 DD Peng Chau,"Site 2, Tung Wan, Peng Chau",Residential R3,0.1093 ha,,,Aug-2005,2005/2006,0
NKIL 6350,"Fung Shing Street, Ngau Chi Wan",Residential R2,1.4400 ha,,,Sep-2005,2005/2006,0
IL 8872,"Hospital Road, Hong Kong",Residential R1,0.0527 ha,,,Oct-2005,2005/2006,0
IL 8914,Ex-Hollywood Road Police Quarters,Residential R1,0.5818 ha,,,Oct-2005,2005/2006,0
TMTL 422,"Area 58, Tuen Mun (Ex-Pearl Island Quarters)",Residential R3,1.5030 ha,,,Oct-2005,2005/2006,0
Lot 1848 DD Cheung Chau,"Sai Wan, Shui Hang, Cheung Chau",Residential R4,1.0382 ha,,,Nov-2005,2005/2006,0
Lot 734 in DD 4,"Mui Wo, Lantau",Residential R3,0.2419 ha,,,Nov-2005,2005/2006,0
