"ipa_ref","manufacturer_en","manufacturer_ch","location_of_prefabrication_factory_en","location_of_prefabrication_factory_ch","mic_type_en","mic_type_ch","model_no","module_type","intended_use_en","intended_use_ch","intended_maximum_building_height","intended_maximum_storey","date_of_acceptance","general_layout","letter_of_acceptance"
"MiC 19/2024","Zhuhai Eastern Heavy Industry Co. Limited","Zhuhai Eastern Heavy Industry Co. Limited","Zhuhai, Guangdong, China","珠海, 廣東, 中國","Steel","鋼材","MIC-EASTERN-STEEL-01","MODULE NO.1, MODULE NO.2, MODULE NO.2A, MODULE NO.3, MODULE NO.4, MODULE NO.5, MODULE NO.6, MODULE NO.7, MODULE NO.8, MODULE NO.8A and MODULE NO.9","Domestic","住用","12.88","4","9/10/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC192024_IPA.pdf"
"MiC 20/2024","Foshan Meizong Buildings Technology Co., Ltd.","佛山市美宗房屋科技有限公司","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","MEIZONG-20STEEL-1","Module 1, Module 1R, Module 2, Module 2R, Module 3, Module 4, Module 5, Module 6, Module 7, Module 8","Domestic","住用","60.335","20","16/10/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0202024_IPA.pdf"
"MiC 21/2024","The Hong Kong Polytechnic University","The Hong Kong Polytechnic University","Huizhou City, Guangdong, China","惠州市, 廣東, 中國","Steel","鋼材","POLYU-STEEL-EMIC-01","1A, 1B, 2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Domestic","住用","21.31","6","21/10/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0212024_IPA.pdf"
"MiC 22/2024","Zenith Integrated Modular Limited","Zenith Integrated Modular Limited","Zhuhai, Guangdong, China","珠海, 廣東, 中國","Steel","鋼材","Z-MIC-01","TYPE A, TYPE AR, TYPE B, TYPE B’, TYPE BR, TYPE C1, TYPE C1R, TYPE C2, TYPE C2R, TYPE D and TYPE E","Domestic","住用","12.7","4","5/11/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC222024_IPA.pdf"
"MiC 23/2024","Kit Kee Engineering Ltd.","Kit Kee Engineering Ltd.","Dongguan, Guangdong, China","東莞, 廣東, 中國","Concrete","混凝土","MIC-RC-01","Type A and Type B","Domestic","住用","129.56","39","8/11/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC232024_IPA.pdf"
"MiC 24/2024","Matrix Living International","Matrix Living International","Foshan City, Guangdong, China","佛山市, 廣東, 中國","Steel","鋼材","MATRIX 16","A, B, C1, C2, D1, D2","Domestic","住用","56.4","18","18/11/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0242024_IPA.pdf"
"MiC 25/2024","Changshu Yahgee Modular Building Co., Ltd.","常熟雅致模塊化建築有限公司","Changshu, Jiangsu, China","常熟，江蘇，中國","Steel","鋼材","YAHGEE-STEEL-20S","MODULE 1, MODULE 1R, MODULE 2, MODULE 2R, MODULE 3, MODULE 4, MODULE 5, MODULE 6, MODULE 7 and MODULE 8","Domestic","住用","60.32","20","13/12/2024","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC252024_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC252024_IPA.pdf"
"MiC 1/2025","China Construction Integrated Science &amp; Technology Co., Ltd.","China Construction Integrated Science &amp; Technology Co., Ltd.","Shenzhen, China","深圳, 中國","Steel","鋼材","ZJJC-STEEL-30S","1, 2, 2R, 3, 4, 5, 6, 7, 7R, 8, 8R, 9, 9R, 10, 10R, 11, 12","Domestic","住用","93","30","6/1/2025","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0012025_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0012025_IPA.pdf"
"MiC 2/2025","Wecon Construction and Engineering Limited","Wecon Construction and Engineering Limited","Huizhou, Guangdong, China","肇慶, 廣東, 中國","Concrete","混凝土","WCE-MIC-C-001","Type A1, Type A1R, Type A2, Type A3, Type B1, Type B1R and Type B2","Domestic","住用","104","30","26/2/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0022025_IPA.pdf"
"MiC 3/2025","Wecon Construction and Engineering Limited","Wecon Construction and Engineering Limited","Huizhou, Guangdong, China","惠州，廣東，中國","Steel","鋼材","WCE-MIC-S-001","Module 1, Module 1R, Module 2 &amp; Module 2R","Hostel","宿舍","63.95","20","5/3/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0032025_IPA.pdf"
"MiC 4/2025","CIMC MBS Hong Kong Limited","CIMC MBS Hong Kong Limited","Jiangmen, Guangdong, China","江門，廣東，中國","Steel","鋼材","CIMC S-MIC-3.0","Type A, Type B, Type C1, Type C2, Type D1 and Type D2","Domestic","住用","62.53","20","6/3/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0042025_IPA.pdf"
"MiC 6/2025","Ind. Hans Co. Ltd.","Ind. Hans Co. Ltd.","Huizhou, Guangdong, China","惠州，廣東，中國","Concrete","混凝土","HANS-C-28ABC","TYPE A1, TYPE A1R, TYPE B1, TYPE B1R, TYPE A2, TYPE B2 and TYPE A3","Domestic","住用","131.65","40","11/4/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0062025_IPA.pdf"
"MiC 7/2025","Elite Production Solution Company Limited","Elite Production Solution Company Limited","Foshan, Guangdong, China","佛山，廣東，中國","Steel","鋼材","EPS HK MIC 001","MODULE NO.1, MODULE NO.2, MODULE NO.3, MODULE NO.4, MODULE NO.5, MODULE NO.6, MODULE NO.7 and MODULE NO.8","Domestic","住用","61.38","20","14/4/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0072025_IPA.pdf"
"MiC 5/2025","Hip Seng Builders Limited","Hip Seng Builders Limited","Zhaoqing, China","肇慶, 中國","Steel","鋼材","HIPSENG-STEEL-01","1,2,2R,3,4,5,6,7,7R, 8, 8R, 9, 9R, 10, 10R, 11 and 12","Domestic","住用","63","20","9/5/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0052025_IPA.pdf"
"MiC 8/2025","China Harbour Engineering Company Limited","China Harbour Engineering Company Limited","Dongguan, Guangdong, China","東莞, 廣東, 中國","Concrete","混凝土","CHEC-PC40","Type A and Type B","Domestic","住用","129.41","39","21/5/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0082025_IPA.pdf"
"MiC 9/2025","Huashi-China Construction New Technology (Zhuhai) Co. Limited","Huashi-China Construction New Technology (Zhuhai) Co. Limited","Zhuhai, Guangdong, China","珠海, 廣東, 中國","Concrete","混凝土","HS-MIC-RC-01","Module No.1, Module No.2, Module No.3, Module No.4, Module No.5, Module No.6, Module No.7, Module No.8, Module No.9 and Module No.10","Domestic","住用","120.56","40","30/5/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0092025_IPA.pdf"
"MiC 10/2025","Dongguan Wah Tung Decorate Material Engineering Company Limited","Dongguan Wah Tung Decorate Material Engineering Company Limited","Dongguan City, Guangdong, ChinaHuizhou City, Guangdong, China","東莞市, 廣東, 中國","Steel","鋼材","–","A1, A2, B1, B2, B3, B4, C1, C2, C4, C5, C6, D1, D2, D3, D4, D5, D6, E1, E2, E3, E4 ","Domestic","住用","67.5","18","20/6/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0102025_IPA.pdf"
"MiC 11/2025","Zhuhai Huimao Environmental Protection Technology Co. Ltd.","Zhuhai Huimao Environmental Protection Technology Co. Ltd.","Zhuhai, Guangdong, China","珠海, 廣東, 中國","Concrete","混凝土","MIC-HM01","Type A and Type B","Domestic","住用","19.06","4","15/7/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0112025_IPA.pdf"
